FID,CC210326,CC210407,CC210419,CC210429,CC210505,CC210513,CC210520,CC210527
3887,0,4.117243408,47.81700323,85.55159275,84.28654169,93.52568614,95.39704313,95.52263374
3888,0,7.914665229,54.97371959,89.23432464,87.34598309,93.97704385,96.59393717,96.03899279
3889,0.001838055,10.9119204,62.07859675,94.3996342,93.22786161,97.41044822,98.11979881,98.23136717
3890,0,11.67348789,58.1205274,91.26779454,90.1911294,95.53070931,96.3885833,96.5163183
3891,0,7.206401333,46.06832906,85.83325713,86.41245515,94.72748671,97.06569121,97.32053041
3892,0,8.974610332,50.03361447,82.47521742,83.12574303,91.70569536,95.84830705,95.53844273
3893,0,11.06876777,60.96644937,89.91678098,89.61499771,95.52767599,97.52537723,96.97180308
3894,0,11.79296147,63.49590515,92.10364274,91.52587727,95.99359363,97.20694292,97.51069551
3895,0.000612685,14.2149054,63.61325021,93.49245542,92.31214754,97.14261448,98.48437738,98.47206943
3896,0.000612685,10.31271444,55.32668366,89.59731748,88.02621552,95.94870053,97.34629018,97.59122085
3897,0.001838055,11.64775512,59.35765799,91.94307608,91.71440735,96.72826324,97.56195702,97.78450067
3898,0,7.569110871,51.84879599,85.67047706,85.49123609,93.49838627,95.8098032,95.82502667
3899,0,7.906087638,52.8201892,86.08382868,85.86495961,94.03271909,95.77137631,95.65517663
3900,0,8.896186648,54.59173695,88.79134278,89.3012224,95.56468247,96.82862731,97.17360159
3901,0,13.64197531,60.3960396,91.70285228,91.73662551,96.40551821,97.29126658,97.3701259
3902,0.00367611,16.62520831,66.3966768,93.8484987,93.3504039,96.97456866,97.98313165,97.87105624
3903,0.001838055,24.14346633,74.43160983,95.2287761,94.96259807,97.32036691,97.7046182,97.71666055
3904,0.00245074,23.55038722,78.17870676,96.48407255,95.90794086,98.05018321,98.5496883,98.77213839
3905,0,22.86172924,83.43851093,97.75466764,96.43164152,98.69081997,99.03856119,99.10157682
3906,0.001833517,22.26865013,77.67876788,96.33348575,95.41689473,97.94644374,98.40422931,98.62459991
3907,0.000612685,17.64961768,71.62327344,94.78433166,94.66178936,98.04957655,98.35086115,98.43295441
3908,0,14.55739633,73.07433095,96.39811004,95.46898339,98.22065568,98.72020535,98.71970736
3909,0,19.63349181,76.23334556,97.34598309,97.10758377,98.60426929,99.24950465,99.13458012
3910,0.000612685,17.82545829,70.21696614,95.73418686,95.20195092,98.20245577,98.78621195,98.66178936
3911,0,14.2927164,68.25985198,94.1332114,92.78036885,96.24535902,98.06919677,97.82178218
3912,0.000612685,14.36868934,69.42305342,95.42996494,93.85635225,97.84391759,97.79427943,97.61804603
3913,0,12.18201647,66.69111356,95.08605486,93.64974851,97.86697081,97.29370523,97.17821782
3914,0,11.3377365,58.80734732,87.05075446,86.02834934,94.02375695,94.65529886,94.71483006
3915,0,14.78960396,66.5646009,93.58146624,91.84333759,97.17780097,96.8870599,96.94047182
3916,0,14.26269483,68.36694781,94.90382564,92.6486816,97.41500643,97.19349713,96.81694864
